Filter,SCA,PHOTMJSR,zp_vega,vega_Jy,zp_vega-sirius,vega-sirius_Jy,zp_AB,mean_pix_sr
F2120N,NRCB1,43.024,22.12,675.3,22.13,682.98,28.03,2.2219e-14
F2120N,NRCB2,40.83,22.15,675.31,22.16,682.99,28.0,2.2875e-14
F2120N,NRCB3,41.429,22.15,675.32,22.17,683.0,28.02,2.2402e-14
F2120N,NRCB4,37.491,22.23,675.33,22.24,683.01,27.99,2.3067e-14
F1500W2,NRCA1,0.647,27.23,1136.27,27.25,1157.59,28.02,2.2433e-14
F1500W2,NRCA2,0.677,27.21,1149.23,27.23,1170.92,28.03,2.2266e-14
F1500W2,NRCA3,0.63,27.25,1135.51,27.27,1156.82,28.01,2.2647e-14
F1500W2,NRCA4,0.582,27.35,1136.17,27.37,1157.52,28.02,2.2458e-14
F1500W2,NRCB1,0.677,27.21,1151.8,27.23,1173.69,28.03,2.2219e-14
F1500W2,NRCB2,0.638,27.23,1138.04,27.25,1159.41,28.0,2.2875e-14
F1500W2,NRCB3,0.666,27.21,1146.81,27.23,1168.45,28.02,2.2402e-14
F1500W2,NRCB4,0.585,27.33,1154.36,27.35,1176.25,27.99,2.3067e-14
F2770W,NRCALONG,0.491,24.94,429.93,24.95,432.98,26.49,9.2094e-14
F2770W,NRCBLONG,0.42,25.1,423.4,25.1,426.32,26.49,9.2374e-14
F3560W,NRCALONG,0.421,24.61,271.36,24.62,272.99,26.49,9.2094e-14
F3560W,NRCBLONG,0.379,24.73,272.35,24.73,273.99,26.49,9.2374e-14
F4440W,NRCALONG,0.402,24.25,185.76,24.25,186.28,26.49,9.2094e-14
F4440W,NRCBLONG,0.371,24.32,182.84,24.32,183.34,26.49,9.2374e-14
F2500M,NRCALONG,1.775,23.72,504.63,23.73,509.32,26.49,9.2094e-14
F2500M,NRCBLONG,1.688,23.78,504.7,23.79,509.39,26.49,9.2374e-14
F3000M,NRCALONG,1.065,23.94,367.96,23.94,370.06,26.49,9.2094e-14
F3000M,NRCBLONG,0.963,24.04,368.18,24.05,370.28,26.49,9.2374e-14
F3350M,NRCALONG,0.977,23.81,299.65,23.81,301.65,26.49,9.2094e-14
F3350M,NRCBLONG,0.848,23.95,298.24,23.96,300.24,26.49,9.2374e-14
F3600M,NRCALONG,0.953,23.68,260.19,23.69,261.79,26.49,9.2094e-14
F3600M,NRCBLONG,0.877,23.77,260.63,23.77,262.24,26.49,9.2374e-14
F4100M,NRCALONG,0.902,23.51,209.63,23.51,210.39,26.49,9.2094e-14
F4100M,NRCBLONG,0.867,23.54,207.72,23.54,208.45,26.49,9.2374e-14
F4300M,NRCALONG,1.908,22.59,190.67,22.59,191.2,26.49,9.2094e-14
F4300M,NRCBLONG,1.705,22.71,190.71,22.71,191.25,26.49,9.2374e-14
F4600M,NRCALONG,2.274,22.23,163.78,22.23,163.99,26.49,9.2094e-14
F4600M,NRCBLONG,2.103,22.32,164.44,22.32,164.65,26.49,9.2374e-14
F4800M,NRCALONG,2.023,22.3,154.46,22.3,154.71,26.49,9.2094e-14
F4800M,NRCBLONG,1.456,22.64,152.45,22.64,152.73,26.49,9.2374e-14
F3230N+F3220W2,NRCALONG,13.574,21.02,321.03,21.03,322.95,26.49,9.2094e-14
F3230N+F3220W2,NRCBLONG,12.127,21.14,320.86,21.15,322.77,26.49,9.2374e-14
F4050N+F4440W,NRCALONG,11.527,20.72,206.95,20.73,207.0,26.49,9.2094e-14
F4050N+F4440W,NRCBLONG,9.712,20.91,206.99,20.91,207.04,26.49,9.2374e-14
F4660N+F4440W,NRCALONG,12.434,20.35,157.81,20.35,157.47,26.49,9.2094e-14
F466N0+F4440W,NRCBLONG,12.466,20.34,157.68,20.34,157.32,26.49,9.2374e-14
F470N0+F4440W,NRCALONG,14.08,20.23,159.54,20.23,159.7,26.49,9.2094e-14
F4700N+F4440W,NRCBLONG,13.735,20.25,159.5,20.25,159.66,26.49,9.2374e-14
F3220W2,NRCALONG,0.21,25.6,336.23,25.61,338.41,26.49,9.2094e-14
F3220W2,NRCBLONG,0.202,25.66,343.47,25.67,345.73,26.49,9.2374e-14
